doy,2020,2021,2022,2023
1,30.941,28.056,29.101,30.633
9,31.695,30.038,31.328,30.688
17,31.517,32.021,31.096,31.734
25,33.601,32.549,29.318,31.374
33,34.883,32.98,33.647,33.219
41,36.17,33.287,33.76,33.359
49,34.13,33.896,34.38,34.799
57,33.978,36.864,35.666,35.423
65,33.611,37.014,36.644,36.249
73,38.261,37.45,33.856,32.003
81,37.246,36.731,33.183,35.13
89,39.445,37.163,34.95,33.624
97,36.836,35.847,37.731,37.732
105,39.425,35.726,37.233,37.327
113,36.573,36.238,37.688,37.852
121,38.832,37.659,35.583,
129,38.279,37.475,,40.062
137,37.599,39.546,35.36,36.331
145,37.596,38.333,37.309,35.822
153,41.971,40.275,36.801,36.128
161,,39.59,40.086,37.307
169,38.841,36.429,36.877,
177,30.792,37.031,35.476,36.644
185,40.608,,,35.983
193,35.519,28.27,37.791,35.755
201,,33.486,36.33,
209,38.069,37.062,36.76,35.567
217,,37.227,36.215,38.647
225,,,38.411,33.679
233,,37.677,35.35,
241,36.058,35.63,37.127,36.847
249,39.902,37.061,33.718,
257,,37.831,37.788,
265,39.056,,39.701,
273,35.887,33.672,,
281,36.34,36.528,,
289,36.576,33.936,,
297,33.644,,34.06,
305,33.292,,30.351,
313,30.877,,28.25,
321,31.537,30.087,,
329,22.637,31.063,31.61,
337,30.809,29.363,31.763,
345,30.227,29.599,28.732,
353,30.389,31.214,29.493,
361,30.481,32.692,30.339,
